"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.414158584,      -13.04546113,      -13.10017577,      -1.366451152,      -8.979131822
          0,           0,           1,      -3.594434591,      -3.425437902,      -2.810249845,      -1.544090501,      -9.301621075
          0,           0,           2,      -4.172847421,      -3.763127278,      -3.350911957,      -2.125817609,      -9.820306532
          0,           0,           3,      -4.241756615,      -3.618803963,      -3.330537708,      -2.194888107,      -9.991160455
          0,           0,           4,      -4.246902536,       -3.47386808,       -3.28237229,      -2.201097923,      -10.14691679
          0,           0,           5,      -4.259661271,       -3.37606761,      -3.255941177,      -2.215107554,      -10.23330869
          0,           0,           6,      -4.274451383,      -3.318050069,      -3.253044443,      -2.230275051,      -10.28416824
          0,           0,           7,      -4.275690793,      -3.290361041,      -3.268325188,      -2.230635645,      -10.30884561
          0,           0,           8,      -4.257583292,      -3.285279567,      -3.296014232,      -2.211213479,        -10.317571
          0,           0,           9,      -4.226427122,      -3.295645671,      -3.329276952,      -2.179285095,      -10.30346436
          0,           0,          10,      -4.191806375,      -3.313708342,      -3.359771174,      -2.144570697,      -10.27391069
          0,           0,          11,      -4.160441401,      -3.331250379,      -3.380162288,      -2.113439811,      -10.24009675
          0,           0,          12,      -4.136000239,      -3.341596928,      -3.387513771,      -2.089257336,       -10.2066012
          0,           0,          13,      -4.119614389,       -3.34166939,      -3.383415292,      -2.073023683,      -10.17667517
          0,           0,          14,      -4.111542551,      -3.332105675,      -3.370727249,      -2.064985226,      -10.15276439
          0,           0,          15,      -4.111259465,      -3.315370163,      -3.351596937,      -2.064653509,       -10.1322618
          0,           0,          16,      -4.117257098,      -3.294289995,      -3.327999196,      -2.070567402,        -10.113929
          0,           0,          17,      -4.126748005,      -3.271916596,      -3.302689506,      -2.079985118,      -10.09568164
          0,           0,          18,      -4.135674078,      -3.251061038,      -3.278979219,      -2.088887369,      -10.07594164
          0,           0,          19,       -4.13965651,      -3.233894529,      -3.259895339,      -2.092922016,         -10.05515
          0,           0,          20,      -4.135885643,      -3.221707302,      -3.247473058,      -2.089288989,       -10.0322989
          0,           0,          21,      -4.124612769,      -3.214723121,      -3.242418356,      -2.078229528,      -10.00904478
          0,           0,          22,      -4.108588124,      -3.211899551,      -3.244094979,      -2.062439959,      -9.986754982
          0,           0,          23,      -4.091438879,      -3.211519497,      -3.250533337,      -2.045504337,        -9.9641303
          0,           0,          24,      -4.076112354,      -3.211276448,      -3.258601184,       -2.03033065,      -9.942212268
          0,           0,          25,      -4.064340718,      -3.208993752,      -3.264371193,      -2.018615154,      -9.921193527
          0,           0,          26,      -4.056815807,      -3.203466349,      -3.264418888,      -2.011033793,      -9.901087123
          0,           0,          27,      -4.053535474,      -3.194701928,      -3.257506195,      -2.007585251,      -9.881840952
          0,           0,          28,      -4.054014292,      -3.183806381,      -3.245096923,      -2.007801991,      -9.863751865
          0,           0,          29,      -4.057471428,      -3.172501677,      -3.230424577,      -2.010949558,      -9.846758401
          0,           0,          30,      -4.062869675,      -3.162413978,      -3.217022147,      -2.016058782,      -9.830987748
          0,           0,          31,      -4.068926934,      -3.154667145,       -3.20758141,       -2.02191418,      -9.815905024
          0,           0,          32,      -4.074236459,      -3.149799804,      -3.203533388,      -2.027152117,      -9.802077582
          0,           0,          33,      -4.077554445,      -3.147780122,      -3.205051901,      -2.030531625,      -9.788638435
          0,           0,          34,      -4.078237158,      -3.148129908,      -3.211151982,      -2.031368663,      -9.776402448
          0,           0,          35,      -4.076582709,       -3.15010048,      -3.219818185,      -2.029892941,      -9.765130485
          0,           0,          36,      -4.073831276,      -3.152885289,      -3.228331786,      -2.027271805,      -9.755087449
          0,           0,          37,      -4.071780838,      -3.155864203,      -3.233988816,      -2.025246643,      -9.746135609
          0,           0,          38,      -4.072248847,      -3.158778118,      -3.235181022,      -2.025602978,      -9.738236157
          0,           0,          39,      -4.076566992,      -3.161781652,      -3.232169771,      -2.029658601,      -9.730943979
          0,           0,          40,      -4.085224897,      -3.165365474,      -3.226959835,      -2.037902535,      -9.724487507
          0,           0,          41,       -4.09767191,      -3.170099519,       -3.22236778,      -2.049806151,      -9.717620506
          0,           0,          42,      -4.112305932,      -3.176428834,      -3.220981331,      -2.063831588,      -9.711187531
          0,           0,          43,      -4.126768665,      -3.184491702,      -3.224514046,      -2.077738667,      -9.703722361
          0,           0,          44,      -4.138728337,      -3.194065159,      -3.233525375,      -2.089345475,      -9.695945827
          0,           0,          45,      -4.146980286,      -3.204615881,      -3.247332995,      -2.097554016,      -9.687264301
          0,           0,          46,      -4.152190611,      -3.215427013,       -3.26403385,      -2.103019168,       -9.67775844
          0,           0,          47,       -4.15666087,      -3.225770044,      -3.280758731,      -2.107910113,      -9.669066437
          0,           0,          48,      -4.163262373,      -3.235063826,      -3.294367753,      -2.114909598,       -9.65981938
          0,           0,          49,      -4.174311105,      -3.242953622,      -3.302641192,       -2.12615444,       -9.65157263
          0,           0,          50,      -4.190807643,      -3.249303167,      -3.305344593,      -2.142508738,      -9.643839067
          0,           0,          51,      -4.212045403,      -3.254164555,      -3.304279392,       -2.16319554,      -9.636777859
          0,           0,          52,        -4.2355141,      -3.257767435,      -3.302341521,      -2.185748676,      -9.631374148
          0,           0,          53,      -4.257424497,       -3.26054862,      -3.302339722,      -2.206596811,       -9.62614788
          0,           0,          54,      -4.274174176,      -3.263220299,      -3.306280138,      -2.222509712,      -9.622381963
          0,           0,          55,      -4.284417357,      -3.266744248,       -3.31517244,      -2.232472534,       -9.61867262
          0,           0,          56,      -4.290029304,      -3.272253829,      -3.329023921,      -2.238424321,      -9.615156405
          0,           0,          57,      -4.294964622,      -3.280870699,       -3.34692792,      -2.244107575,       -9.61208643
          0,           0,          58,      -4.303162621,      -3.293504304,      -3.367140709,      -2.253141722,      -9.608494418
          0,           0,          59,      -4.317066554,       -3.31055993,      -3.387295491,      -2.267670087,      -9.605043273
          0,           0,          60,      -4.337091472,      -3.331757404,       -3.40483849,       -2.28786342,      -9.601927121
          0,           0,          61,      -4.361597001,      -3.355853399,      -3.417855255,      -2.311904235,      -9.598489763
          0,           0,          62,      -4.387270686,      -3.380600763,      -3.425843435,      -2.336444225,      -9.595270944
          0,           0,          63,      -4.410262334,      -3.402998965,      -3.429993612,      -2.357851149,      -9.591743613
          0,           0,          64,      -4.427894949,      -3.420253766,      -3.432650706,       -2.37393004,      -9.587808848
          0,           0,          65,       -4.44015133,      -3.431050665,      -3.436482585,      -2.385186522,      -9.583487655
          0,           0,          66,      -4.449394846,      -3.436392476,      -3.443727621,      -2.394276248,      -9.578599554
          0,           0,          67,      -4.458682698,      -3.439089142,      -3.455841367,      -2.404268319,      -9.573349453
          0,           0,          68,      -4.470062382,      -3.442549496,      -3.473347447,      -2.417068503,      -9.567482118
          0,           0,          69,      -4.483919539,       -3.44965053,      -3.495799779,       -2.43285604,      -9.560995363
          0,           0,          70,      -4.499068893,      -3.462218065,      -3.521766113,      -2.450172223,      -9.553983996
          0,           0,          71,      -4.513664724,      -3.480913526,      -3.548970088,      -2.466801132,      -9.546690677
          0,           0,          72,      -4.526215431,      -3.505297623,      -3.574687447,      -2.480851068,      -9.539549186
          0,           0,          73,      -4.536647908,      -3.533737326,      -3.596645039,      -2.491966697,      -9.532666662
          0,           0,          74,      -4.546377414,      -3.563480525,      -3.613971139,      -2.501531921,      -9.526353158
          0,           0,          75,       -4.55767158,      -3.590900562,      -3.627601383,      -2.512006634,      -9.521084307
          0,           0,          76,      -4.572690518,      -3.612511279,      -3.639762428,       -2.52585285,      -9.516610595
          0,           0,          77,       -4.59280954,      -3.626336907,      -3.652974698,      -2.544756862,      -9.513113584
          0,           0,          78,      -4.618375564,      -3.632960473,      -3.669214247,      -2.569364118,      -9.510781176
          0,           0,          79,      -4.648613576,      -3.635124552,      -3.689506974,       -2.59917217,      -9.509322135
          0,           0,          80,      -4.681641139,      -3.636398561,      -3.713835167,       -2.63250895,      -9.508818011
          0,           0,          81,      -4.714838853,       -3.64003169,      -3.741215277,      -2.666800714,      -9.509232764
          0,           0,          82,      -4.745396616,      -3.648271685,       -3.76994362,      -2.698970631,      -9.510430021
          0,           0,          83,      -4.771246784,      -3.662306463,      -3.797932777,      -2.726344767,      -9.512478603
          0,           0,          84,      -4.791913023,      -3.682389324,      -3.823242617,      -2.747736538,      -9.515262881
          0,           0,          85,      -4.808648312,      -3.707767102,      -3.844694572,       -2.76396221,       -9.51873529
          0,           0,          86,      -4.823800695,      -3.736727295,      -3.862148336,      -2.777416465,      -9.522963883
          0,           0,          87,      -4.840109207,      -3.766616558,      -3.876410262,      -2.791251759,      -9.527796657
          0,           0,          88,       -4.85984164,      -3.794151538,      -3.888804145,      -2.808272946,      -9.533156326
          0,           0,          89,      -4.884627215,      -3.816471385,      -3.900665416,      -2.830623761,      -9.539086235
          0,           0,          90,      -4.915485821,      -3.832256415,       -3.91311901,      -2.859751745,      -9.545370847
          0,           0,          91,      -4.952063031,      -3.842415801,      -3.926955399,      -2.895696546,      -9.551911599
          0,           0,          92,      -4.992929409,      -3.849484264,      -3.942671049,      -2.937383108,      -9.558782546
          0,           0,          93,      -5.034780786,      -3.856354976,      -3.960509166,      -2.981726515,      -9.565778178
