Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
34,0.990693,0,78.8619,-0,1.67054e-07,0,0,0,0,0,0,0.17618,-0.055404,0,0.184686,31.5447,-0.402573,0.00477868,-0.000358576,0,0.00479211,1.00299,0,0,0,0,1.07723
35,0.990505,0,78.8529,-0,1.67064e-07,0,0,0,0,0,0,0.153511,-0.0534588,0,0.162553,31.5411,-0.409774,0.00488999,-0.000470599,0,0.00491258,1.00307,0,0,0,0,1.09275
36,0.990348,0,78.8483,-0,1.67077e-07,0,0,0,0,0,0,0.133057,-0.051254,0,0.142588,31.5393,-0.413438,0.00500119,-0.000594651,0,0.00503642,1.00317,0,0,0,0,1.10893
37,0.990216,0,78.8479,-0,1.67094e-07,0,0,0,0,0,0,0.114722,-0.0488466,0,0.124688,31.5391,-0.41378,0.00510951,-0.000731583,0,0.00516162,1.0033,0,0,0,0,1.1256
38,0.990118,0,78.8514,-0,1.67112e-07,0,0,0,0,0,0,0.0983855,-0.0462897,0,0.108731,31.5406,-0.410948,0.00521405,-0.000882648,0,0.00528823,1.00344,0,0,0,0,1.14287
39,0.990054,0,78.8598,-0,1.67134e-07,0,0,0,0,0,0,0.0839123,-0.0436311,0,0.0945777,31.5439,-0.404213,0.0053126,-0.00104917,0,0.0054152,1.00362,0,0,0,0,1.16074
40,0.990036,0,78.8734,-0,1.67159e-07,0,0,0,0,0,0,0.0711583,-0.0409126,0,0.0820814,31.5493,-0.393364,0.00540151,-0.00123239,0,0.00554031,1.00381,0,0,0,0,1.1791
41,0.990071,0,78.8925,-0,1.67186e-07,0,0,0,0,0,0,0.0599767,-0.03817,0,0.0710925,31.557,-0.378052,0.00547663,-0.00143351,0,0.00566114,1.00401,0,0,0,0,1.19784
42,0.99018,0,78.9193,-0,1.67216e-07,0,0,0,0,0,0,0.0502224,-0.0354327,0,0.0614635,31.5677,-0.356615,0.00552947,-0.00165248,0,0.00577111,1.00424,0,0,0,0,1.21648
43,0.990361,0,78.9537,-0,1.67249e-07,0,0,0,0,0,0,0.0417559,-0.0327247,0,0.0530515,31.5815,-0.329105,0.0055495,-0.00188785,0,0.00586182,1.0045,0,0,0,0,1.23433
44,0.990639,0,78.9972,-0,1.67284e-07,0,0,0,0,0,0,0.0344451,-0.0300655,0,0.0457209,31.5989,-0.294298,0.00552782,-0.00213747,0,0.00592668,1.00477,0,0,0,0,1.25094
45,0.991031,0,79.0517,-0,1.67322e-07,0,0,0,0,0,0,0.0281672,-0.0274703,0,0.0393448,31.6207,-0.250717,0.00545121,-0.00239576,0,0.00595444,1.00507,0,0,0,0,1.26535
46,0.991555,0,79.119,-0,1.67364e-07,0,0,0,0,0,0,0.0228094,-0.0249517,0,0.0338062,31.6476,-0.196825,0.00529956,-0.00265044,0,0.00592538,1.00539,0,0,0,0,1.27564
47,0.992235,0,79.2004,-0,1.67408e-07,0,0,0,0,0,0,0.0182689,-0.0225199,0,0.0289982,31.6802,-0.131716,0.00507461,-0.00289499,0,0.00584232,1.00573,0,0,0,0,1.28219
48,0.993144,0,79.2981,-0,1.67449e-07,0,0,0,0,0,0,0.0144522,-0.020184,0,0.0248246,31.7193,-0.0535574,0.00480426,-0.00313745,0,0.00573799,1.00605,0,0,0,0,1.28874
49,0.994341,0,79.4125,-0,1.6748e-07,0,0,0,0,0,0,0.0112752,-0.0179526,0,0.0211997,31.765,0.0379118,0.00451729,-0.00339287,0,0.00564956,1.00629,0,0,0,0,1.29982
