"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          63,      -4.748347968,      -3.630051964,      -3.626428128,      -2.690931483,      -10.00319172
          0,           0,          64,      -4.763225047,      -3.641784101,      -3.646375937,      -2.707497949,       -10.0026027
          0,           0,          65,      -4.760402544,      -3.657427039,      -3.673349517,      -2.707073715,      -10.00204067
          0,           0,          66,      -4.747429836,      -3.677018462,      -3.705996611,      -2.696337018,      -10.00130556
          0,           0,          67,      -4.733103984,      -3.699722166,      -3.741185791,      -2.683753737,      -10.00014325
          0,           0,          68,      -4.723508748,      -3.723802992,      -3.773747523,      -2.675534234,      -9.999200804
          0,           0,          69,      -4.721798273,      -3.746960666,      -3.797650832,      -2.675077765,       -9.99817033
          0,           0,          70,      -4.729211558,      -3.767163661,      -3.809243712,      -2.683806126,      -9.996792905
          0,           0,          71,      -4.745806121,      -3.783715029,      -3.810193185,      -2.701840957,      -9.994867604
          0,           0,          72,      -4.770625795,      -3.797811747,      -3.806632828,      -2.728148487,      -9.992863435
          0,           0,          73,       -4.80140457,      -3.812082939,      -3.805628722,      -2.760219528,      -9.990890153
          0,           0,          74,       -4.83410648,      -3.829459054,      -3.812682441,      -2.793622276,       -9.98805376
          0,           0,          75,      -4.863049366,      -3.852075891,      -3.831207678,      -2.822298476,      -9.984928515
          0,           0,          76,      -4.882742659,      -3.880523662,      -3.862794718,      -2.840793138,      -9.981773525
          0,           0,          77,       -4.89120362,      -3.913347512,      -3.907206465,      -2.847787667,      -9.978370453
          0,           0,          78,      -4.891660792,      -3.946850211,      -3.961547647,      -2.847361557,      -9.974922299
          0,           0,          79,      -4.890505878,      -3.975810114,      -4.018558394,       -2.84634578,      -9.971287387
          0,           0,          80,       -4.89395146,      -3.995844162,      -4.065911767,      -2.850928723,      -9.967485607
          0,           0,          81,      -4.906261773,      -4.006406008,      -4.091675456,      -2.865151498,      -9.963530498
          0,           0,          82,      -4.929511662,      -4.011430826,      -4.095179059,      -2.890825493,      -9.959207993
          0,           0,          83,      -4.963691322,      -4.016905981,      -4.088051876,      -2.927615457,      -9.954874484
