"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.042159906,      -13.33750016,      -13.37766773,      -1.994452475,      -9.129931973
          0,           0,           1,      -4.252306605,      -3.891171659,      -3.497368118,      -2.194030232,      -9.548727401
          0,           0,           2,      -5.116349001,      -4.214779884,      -4.126898237,      -3.067954582,      -10.24844211
          0,           0,           3,      -5.287744661,      -4.183620383,      -4.147233771,      -3.250583191,      -10.54830944
          0,           0,           4,      -5.285886958,      -4.216483818,      -4.231082989,      -3.245850985,      -10.80855449
          0,           0,           5,      -5.229648077,      -4.310275543,      -4.357470996,      -3.185364435,      -10.98268451
          0,           0,           6,      -5.199863163,      -4.395295497,      -4.449801651,      -3.155263415,        -11.036272
          0,           0,           7,      -5.205405614,      -4.404227282,       -4.45042355,      -3.161682338,      -11.04255946
          0,           0,           8,       -5.23926833,      -4.375936623,      -4.414234124,      -3.196079378,      -11.03122194
          0,           0,           9,      -5.285356277,      -4.358495327,      -4.388726702,      -3.242023991,      -11.00839795
          0,           0,          10,      -5.315362147,      -4.358332271,      -4.385056686,      -3.271541437,      -10.97400198
          0,           0,          11,      -5.312911422,       -4.36529754,      -4.401091267,      -3.268708486,      -10.93309927
          0,           0,          12,      -5.294411604,      -4.368685724,      -4.426547519,       -3.24980101,      -10.88949866
          0,           0,          13,      -5.282139731,      -4.367388926,      -4.448110821,      -3.236739662,      -10.84551238
          0,           0,          14,      -5.285368368,      -4.368475385,      -4.460246358,      -3.238764009,      -10.80257965
          0,           0,          15,      -5.304343519,      -4.375371842,      -4.467566505,      -3.256416048,      -10.76096123
          0,           0,          16,      -5.334793164,      -4.381645024,       -4.47384504,      -3.285857821,      -10.72110187
          0,           0,          17,      -5.368773813,      -4.377875909,      -4.476801197,      -3.319430042,      -10.68335329
          0,           0,          18,      -5.397005733,      -4.365371912,      -4.474686787,      -3.347641058,      -10.64772617
          0,           0,          19,      -5.415579395,      -4.356658853,      -4.472951973,      -3.365940054,      -10.61397496
          0,           0,          20,      -5.430015394,      -4.363327469,      -4.480783952,      -3.379455101,      -10.58133614
          0,           0,          21,      -5.449954106,      -4.388794601,      -4.503503428,      -3.397949742,      -10.54897883
          0,           0,          22,      -5.482072705,      -4.426849527,      -4.538267755,      -3.428361487,      -10.51658749
          0,           0,          23,      -5.527755021,       -4.46240804,      -4.573621577,      -3.472204255,      -10.48431865
          0,           0,          24,      -5.583335193,      -4.479965783,      -4.595995287,      -3.525847805,      -10.45245653
          0,           0,          25,      -5.640503476,      -4.478381536,       -4.60270309,      -3.581142067,      -10.42116472
          0,           0,          26,      -5.688274384,      -4.470139443,      -4.603922209,      -3.627594292,      -10.39071484
          0,           0,          27,      -5.719817535,      -4.466845567,      -4.610394024,      -3.658821156,      -10.36120541
          0,           0,          28,       -5.73987561,      -4.472776987,      -4.625551513,      -3.679116192,      -10.33264173
          0,           0,          29,      -5.761804064,      -4.486557319,      -4.646154527,      -3.700615256,      -10.30511543
          0,           0,          30,      -5.798328002,      -4.504114679,      -4.666340022,      -3.734742799,       -10.2787571
          0,           0,          31,      -5.856506887,      -4.521094788,      -4.682470537,      -3.787210489,      -10.25344785
          0,           0,          32,      -5.935124323,      -4.534617942,      -4.695489935,      -3.855450851,      -10.22921399
          0,           0,          33,      -6.019253396,       -4.54408287,      -4.708711324,      -3.925359162,       -10.2058009
          0,           0,          34,      -6.079484204,      -4.550600033,      -4.724226295,      -3.974873047,      -10.18316429
          0,           0,          35,      -6.099261748,      -4.555808069,      -4.741430329,       -3.99466432,      -10.16133061
          0,           0,          36,      -6.098964758,      -4.560919459,      -4.758041433,      -3.999662089,      -10.14021882
          0,           0,          37,      -6.104772167,      -4.566434474,      -4.772183662,      -4.008164909,      -10.11985883
          0,           0,          38,      -6.127125456,      -4.572218606,      -4.783850216,      -4.027729703,      -10.10027135
          0,           0,          39,      -6.163677513,        -4.5777943,      -4.794394998,      -4.056131618,      -10.08132908
          0,           0,          40,        -6.2058596,       -4.58265422,      -4.804935962,      -4.086720797,      -10.06295708
          0,           0,          41,      -6.244137136,      -4.586526442,       -4.81548544,       -4.11327984,      -10.04518103
          0,           0,          42,      -6.273959565,      -4.589551194,      -4.825179736,      -4.133739658,      -10.02810193
          0,           0,          43,      -6.297747752,      -4.592143318,      -4.833202959,      -4.150120857,       -10.0117439
          0,           0,          44,      -6.319133407,      -4.594753806,      -4.839551833,      -4.164525273,      -9.996047106
          0,           0,          45,      -6.340720506,      -4.597761809,      -4.844923457,      -4.178422503,       -9.98110854
          0,           0,          46,       -6.36061152,      -4.601247116,      -4.850252951,      -4.190961581,      -9.966963644
          0,           0,          47,      -6.376519639,      -4.605093818,      -4.856015485,      -4.201357943,      -9.953716496
          0,           0,          48,      -6.388592921,      -4.609116453,      -4.862134383,      -4.210250923,      -9.941405322
          0,           0,          49,      -6.395812174,      -4.613060293,      -4.868348249,      -4.217253358,      -9.930071239
          0,           0,          50,       -6.39937447,       -4.61680788,      -4.874285776,      -4.222799447,      -9.919732884
          0,           0,          51,      -6.402037696,      -4.620413481,      -4.879807272,       -4.22799108,      -9.910393898
          0,           0,          52,      -6.404509112,      -4.623986914,      -4.885053792,      -4.232957523,      -9.902057517
          0,           0,          53,      -6.408241598,      -4.627797395,      -4.890178797,      -4.238352994,      -9.894805901
          0,           0,          54,      -6.415916149,      -4.632024708,      -4.895447674,      -4.245769784,      -9.888670202
          0,           0,          55,      -6.425250055,      -4.636735192,      -4.900994379,      -4.254104126,      -9.883661451
          0,           0,          56,      -6.436024024,       -4.64196978,      -4.906782108,      -4.263490651,      -9.879796867
          0,           0,          57,      -6.447258672,       -4.64769081,       -4.91279802,       -4.27348092,      -9.877088262
          0,           0,          58,      -6.457371516,      -4.653822115,      -4.918981327,      -4.283326707,      -9.875558826
          0,           0,          59,      -6.465955932,      -4.660278573,      -4.925292182,      -4.292885234,      -9.875214562
          0,           0,          60,      -6.473757084,      -4.667055479,      -4.931634007,      -4.302550679,      -9.876078888
          0,           0,          61,      -6.480555854,      -4.674120601,      -4.938022059,      -4.312021653,      -9.878159679
          0,           0,          62,      -6.485904638,      -4.681476738,       -4.94440774,      -4.320982039,      -9.881485661
          0,           0,          63,      -6.490919283,      -4.689126914,      -4.950748513,       -4.33002266,      -9.886062117
          0,           0,          64,      -6.495647474,      -4.697100659,      -4.957009786,      -4.339101034,      -9.891868503
          0,           0,          65,        -6.5012975,      -4.705404256,      -4.963200653,      -4.348805031,      -9.898917797
          0,           0,          66,      -6.507214933,      -4.714032339,       -4.96932018,      -4.358668992,      -9.907250987
          0,           0,          67,      -6.514950654,      -4.722977106,      -4.975359696,      -4.369734153,      -9.916846896
          0,           0,          68,      -6.524127188,      -4.732233483,      -4.981326178,      -4.381824844,      -9.927700196
          0,           0,          69,      -6.535044934,      -4.741777189,      -4.987253966,      -4.395209582,      -9.939780663
