"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          63,      -4.181523595,      -4.465745865,      -4.476568933,      -3.575640891,      -6.801654098
          0,           0,          64,      -4.183045692,      -4.473347978,      -4.475965458,      -3.577848236,      -7.006192535
          0,           0,          65,      -4.185470158,      -4.479409373,      -4.477898871,      -3.580945405,      -7.165635777
          0,           0,          66,      -4.190082468,      -4.481861712,      -4.479906102,      -3.586429416,       -7.28953184
          0,           0,          67,      -4.194997143,      -4.482442779,      -4.481887786,      -3.592183882,      -7.339236779
          0,           0,          68,      -4.201245987,      -4.483502608,      -4.484580199,      -3.599368765,      -7.395790261
          0,           0,          69,      -4.208281654,       -4.48366403,      -4.487967884,      -3.607435162,      -7.434189021
          0,           0,          70,      -4.216149824,      -4.484968055,      -4.492597278,      -3.616411511,      -7.415916101
          0,           0,          71,      -4.224778133,      -4.486601726,      -4.498519517,      -3.626249235,      -7.418623477
          0,           0,          72,      -4.234129574,      -4.488714893,       -4.50569333,        -3.6368667,      -7.413122971
          0,           0,          73,      -4.244224166,      -4.491013003,      -4.513854021,      -3.648290888,       -7.41186795
          0,           0,          74,      -4.254906049,      -4.493568382,      -4.522977978,      -3.660323758,      -7.383871108
          0,           0,          75,        -4.2661832,      -4.496187429,      -4.533118728,      -3.672950422,      -7.366916519
          0,           0,          76,      -4.278067926,      -4.498798432,      -4.544338135,      -3.686175405,       -7.32647731
          0,           0,          77,      -4.290354043,      -4.500904675,       -4.55670842,      -3.699732938,      -7.287481831
          0,           0,          78,      -4.303207352,      -4.502116698,      -4.570055237,      -3.713816246,      -7.254454126
          0,           0,          79,      -4.316467661,      -4.501950126,      -4.584333652,      -3.728225679,      -7.205476384
          0,           0,          80,      -4.330215379,      -4.499941525,      -4.599301499,      -3.743068066,      -7.157462466
          0,           0,          81,      -4.344249563,      -4.496906058,      -4.614872544,      -3.758113418,       -7.09593706
          0,           0,          82,      -4.358504338,      -4.493162162,      -4.630683626,      -3.773246059,      -7.032830733
          0,           0,          83,      -4.372891512,      -4.489841252,       -4.64665894,      -3.788345764,      -6.981192179
          0,           0,          84,      -4.387350751,      -4.487879321,      -4.663294214,      -3.803295828,       -6.92914405
          0,           0,          85,      -4.401852011,      -4.487512917,      -4.680899025,      -3.818032011,      -6.880974382
          0,           0,          86,      -4.416438599,      -4.488919288,      -4.699651847,      -3.832586392,      -6.840087469
          0,           0,          87,      -4.431358357,       -4.49194844,      -4.719235379,      -3.847205422,      -6.803552394
          0,           0,          88,      -4.446864028,       -4.49591243,      -4.738711402,      -3.862158539,      -6.759646428
          0,           0,          89,      -4.463239533,      -4.501371632,      -4.757679754,      -3.877792769,      -6.725660251
          0,           0,          90,      -4.480721417,      -4.507875205,      -4.777037813,      -3.894469176,      -6.700300117
          0,           0,          91,      -4.499518425,      -4.513697038,      -4.797168835,      -3.912572058,      -6.668257523
          0,           0,          92,      -4.519013121,      -4.517367794,      -4.819207488,      -3.931552332,      -6.593248707
          0,           0,          93,      -4.538697866,      -4.518155865,      -4.842060805,      -3.950899584,      -6.466766448
          0,           0,          94,      -4.558173492,      -4.511164169,       -4.86316272,      -3.970155999,      -6.318812678
          0,           0,          95,      -4.576891327,      -4.479909473,      -4.879394191,      -3.988684884,      -6.132451172
          0,           0,          96,        -4.5937866,       -4.41436356,      -4.887664363,      -4.005338352,      -5.855596973
          0,           0,          97,      -4.607423294,      -4.396672669,      -4.888620343,      -4.018530735,      -5.649996263
          0,           0,          98,      -4.619010273,      -4.409744735,      -4.879925033,      -4.029675407,      -5.555958833
          0,           0,          99,      -4.629338065,      -4.403083623,      -4.865998691,       -4.03941274,      -5.503303398
          0,           0,         100,      -4.636000578,      -4.384689327,      -4.849113946,      -4.044918541,      -5.380060211
          0,           0,         101,      -4.636556237,      -4.397055519,      -4.826935155,      -4.044560622,      -5.308323318
          0,           0,         102,      -4.630365299,      -4.392845809,      -4.804898938,      -4.039448973,      -5.279910945
          0,           0,         103,      -4.619692465,       -4.32643713,      -4.786192583,       -4.03266145,      -5.304864668
          0,           0,         104,      -4.610772167,      -4.234958489,      -4.766754312,      -4.029337033,      -5.276409099
          0,           0,         105,      -4.611825694,      -4.254414792,      -4.754215817,      -4.035287238,      -5.268743483
          0,           0,         106,      -4.625961284,      -4.249314682,       -4.74629705,      -4.051115827,       -5.32180526
          0,           0,         107,      -4.646670025,      -4.245070091,      -4.754883139,      -4.070159481,      -5.348231404
          0,           0,         108,      -4.664852017,      -4.258438609,      -4.782535907,      -4.086020155,      -5.392132099
          0,           0,         109,      -4.675878722,      -4.284863118,       -4.82335201,      -4.096215098,      -5.413393425
          0,           0,         110,      -4.680425644,      -4.308545181,      -4.867626096,      -4.101023637,       -5.42796033
          0,           0,         111,      -4.680667449,      -4.326086664,      -4.905204509,      -4.101235385,      -5.452403923
          0,           0,         112,       -4.67804081,      -4.339676146,      -4.932616391,      -4.097678804,      -5.471266328
          0,           0,         113,      -4.673773277,      -4.354573614,      -4.952489587,       -4.09189055,      -5.489146746
          0,           0,         114,      -4.669654164,      -4.373450704,      -4.968571155,      -4.086297165,      -5.514942467
          0,           0,         115,      -4.667785713,      -4.396102489,      -4.983327657,      -4.083463163,      -5.576267241
          0,           0,         116,      -4.669740421,       -4.41924594,      -4.998146595,      -4.085110546,      -5.647518841
          0,           0,         117,      -4.676084969,      -4.440938828,      -5.013990727,      -4.091759679,       -5.76588176
          0,           0,         118,      -4.686597597,      -4.458096028,      -5.030743696,      -4.103079826,       -5.89795083
          0,           0,         119,      -4.700010285,      -4.472281066,      -5.048011192,      -4.117619657,      -6.077174709
          0,           0,         120,      -4.714678271,      -4.485924143,      -5.064969122,      -4.133466622,      -6.295691439
          0,           0,         121,      -4.729204817,       -4.49858945,      -5.080607895,      -4.148821567,      -6.469847414
          0,           0,         122,      -4.742338498,      -4.509914376,      -5.094334284,      -4.162284512,       -6.54083155
          0,           0,         123,      -4.753232509,      -4.520502637,      -5.106352052,      -4.173093243,      -6.568587049
          0,           0,         124,      -4.761897658,      -4.531149274,      -5.117037409,      -4.181364448,      -6.581700015
          0,           0,         125,      -4.768940201,      -4.542257968,      -5.126490272,      -4.187779874,      -6.588088335
          0,           0,         126,      -4.775196731,      -4.553886327,      -5.134585861,      -4.193274818,      -6.591033305
          0,           0,         127,      -4.781352971,      -4.566000428,      -5.141096524,      -4.198641244,      -6.592258011
          0,           0,         128,      -4.787947839,       -4.57854867,      -5.146016377,      -4.204548733,      -6.592661912
          0,           0,         129,      -4.795024747,      -4.591471452,      -5.149415057,      -4.211137096,      -6.592735154
          0,           0,         130,      -4.802190051,      -4.604645091,      -5.151412967,        -4.2180329,      -6.592423272
          0,           0,         131,      -4.808854772,       -4.61789455,      -5.152206933,      -4.224628515,      -6.591709278
          0,           0,         132,      -4.814312615,      -4.630991895,       -5.15186141,      -4.230106716,      -6.590379917
          0,           0,         133,        -4.8178399,      -4.643670253,      -5.150386984,      -4.233523583,       -6.58819629
          0,           0,         134,      -4.818871837,      -4.655669401,      -5.147725787,      -4.234072389,      -6.584923285
          0,           0,         135,      -4.817151794,      -4.666781803,      -5.143936733,      -4.231254379,      -6.580532416
          0,           0,         136,      -4.812615866,      -4.676910554,      -5.139171134,      -4.224819089,      -6.575224179
          0,           0,         137,      -4.805729912,      -4.686123939,      -5.133918071,      -4.215194114,      -6.569564597
          0,           0,         138,      -4.797459489,      -4.694679473,      -5.129035374,      -4.203489776,      -6.564267924
          0,           0,         139,      -4.789178192,      -4.702971009,      -5.125345464,      -4.191394263,      -6.560154399
          0,           0,         140,      -4.782475117,      -4.711433511,      -5.123622186,      -4.181027004,      -6.557893668
          0,           0,         141,      -4.778765955,      -4.720344629,      -5.124180287,      -4.174577139,      -6.557968008
          0,           0,         142,      -4.778168283,       -4.72948237,      -5.126514766,      -4.173194246,      -6.560572066
          0,           0,         143,       -4.77783139,      -4.737855798,      -5.128948018,      -4.174982617,       -6.56556199
          0,           0,         144,       -4.77008399,      -4.743954469,      -5.128660228,      -4.171978012,      -6.572650144
          0,           0,         145,       -4.74623748,      -4.747001387,      -5.123281114,       -4.15269742,      -6.581389809
          0,           0,         146,      -4.705515602,      -4.747988766,      -5.112409059,      -4.113107446,      -6.591151653
          0,           0,         147,      -4.658228491,      -4.749131271,      -5.098138568,      -4.063626843,      -6.601461516
          0,           0,         148,      -4.614268087,      -4.752502633,      -5.083702964,      -4.016270147,      -6.611581544
          0,           0,         149,        -4.5816495,      -4.758385868,      -5.071479501,      -3.980703998,      -6.620822835
          0,           0,         150,      -4.562045219,      -4.766348205,      -5.063495743,      -3.959047712,       -6.62830744
          0,           0,         151,      -4.554927623,      -4.775785423,      -5.060641934,      -3.950720336,      -6.633468179
          0,           0,         152,      -4.558039063,      -4.786462757,      -5.062970904,      -3.953206474,      -6.635993477
          0,           0,         153,      -4.568914907,      -4.798313304,      -5.070057366,      -3.963784893,      -6.635783266
          0,           0,         154,      -4.585500211,      -4.811044386,      -5.081281176,      -3.980233441,      -6.632971011
          0,           0,         155,      -4.605742291,      -4.824007412,      -5.094928082,      -4.000383311,      -6.627865432
          0,           0,         156,      -4.628353057,      -4.836519164,       -5.10988927,      -4.022871204,      -6.620971057
          0,           0,         157,       -4.65204685,      -4.848015407,      -5.125000466,      -4.046384459,      -6.612888612
          0,           0,         158,      -4.675918539,      -4.858112349,      -5.139437406,      -4.069997886,      -6.604310125
          0,           0,         159,      -4.699751556,      -4.866719814,      -5.153192348,      -4.093499855,      -6.595947302
          0,           0,         160,      -4.722828125,      -4.873977772,       -5.16618687,      -4.116194822,      -6.588591843
          0,           0,         161,       -4.74510762,      -4.880265538,      -5.178468931,      -4.138088997,      -6.583033527
          0,           0,         162,      -4.767772953,      -4.886044944,      -5.190129914,      -4.160419559,      -6.579600501
