"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          75,      -4.746978238,      -2.493131473,      -3.230427383,     -0.4624180971
          0,           0,          76,      -4.750220888,       -2.49782814,      -3.239592631,     -0.4742043213
          0,           0,          77,      -4.758374668,      -2.506745982,      -3.251732322,     -0.4797058524
          0,           0,          78,      -4.762480826,      -2.511931192,      -3.261167677,     -0.4940714607
          0,           0,          79,       -4.76828618,      -2.518735203,      -3.272083307,     -0.4999652675
          0,           0,          80,      -4.771837744,      -2.523302008,      -3.280939917,     -0.5121140679
          0,           0,          81,      -4.779914939,      -2.531924521,      -3.292573414,      -0.517241927
          0,           0,          82,      -4.784106167,      -2.536982508,      -3.301965928,     -0.5320063442
          0,           0,          83,      -4.789023413,      -2.542888341,      -3.312144533,     -0.5367993144
          0,           0,          84,       -4.79544999,      -2.549888171,      -3.322424615,     -0.5484740173
          0,           0,          85,      -4.800977858,      -2.556363861,      -3.332829768,     -0.5545099692
          0,           0,          86,      -4.804328401,      -2.560767673,      -3.341780147,     -0.5665178847
          0,           0,          87,       -4.81199339,      -2.569228963,      -3.352982253,     -0.5688349572
          0,           0,          88,      -4.815945232,      -2.574287039,      -3.362291083,     -0.5827374145
          0,           0,          89,      -4.820581613,      -2.580206635,      -3.372192599,     -0.5849231248
          0,           0,          90,      -4.826492777,      -2.587187679,      -3.382206957,     -0.5957769129
          0,           0,          91,      -4.831723063,      -2.593821142,      -3.392342998,     -0.5995450594
          0,           0,          92,      -4.834767696,      -2.598418076,      -3.401104428,     -0.6112355304
          0,           0,          93,      -4.841850751,      -2.606920264,        -3.4118539,     -0.6121371504
          0,           0,          94,      -4.845481982,      -2.612239353,      -3.420836727,     -0.6260402896
          0,           0,          95,      -4.849782467,      -2.618398115,      -3.430313596,     -0.6275445996
          0,           0,          96,      -4.855245008,      -2.625555545,      -3.439892076,     -0.6392742625
          0,           0,          97,      -4.860150829,      -2.632419709,      -3.449500998,     -0.6430842626
          0,           0,          98,      -4.862920227,      -2.637264528,      -3.457885941,     -0.6554810966
          0,           0,          99,       -4.86966217,       -2.64590828,      -3.468192879,     -0.6575200008
          0,           0,         100,       -4.87308451,      -2.651437513,      -3.476753306,     -0.6719654786
          0,           0,         101,       -4.87723079,      -2.657767473,      -3.485988338,     -0.6745813802
          0,           0,         102,      -4.882511853,       -2.66501606,      -3.495368645,      -0.686879433
          0,           0,         103,      -4.887358406,      -2.671981145,      -3.504908716,     -0.6914588168
          0,           0,         104,      -4.890124204,      -2.676922146,      -3.513273662,     -0.7036628597
          0,           0,         105,      -4.896875056,      -2.685554761,      -3.523721821,     -0.7063432568
          0,           0,         106,      -4.900390306,      -2.691105925,      -3.532487155,     -0.7197709894
          0,           0,         107,      -4.904706945,      -2.697439438,      -3.542132664,     -0.7219387296
          0,           0,         108,       -4.91015576,      -2.704630964,      -3.551691515,     -0.7332896047
          0,           0,         109,      -4.915270706,       -2.71156409,      -3.561743623,     -0.7363988876
          0,           0,         110,       -4.91834331,      -2.716500572,       -3.57053179,     -0.7470040395
          0,           0,         111,        -4.9254232,      -2.725071132,      -3.581282801,     -0.7480062751
          0,           0,         112,      -4.929279528,      -2.730590894,      -3.590441586,     -0.7599128222
          0,           0,         113,      -4.934085486,      -2.737005908,      -3.600300799,     -0.7593019843
          0,           0,         114,      -4.937834116,      -2.742333158,      -3.608921019,     -0.7690860673
          0,           0,         115,      -4.945456908,      -2.751174756,       -3.61950139,     -0.7690589738
          0,           0,         116,      -4.949825523,      -2.756961002,      -3.628880121,     -0.7814693978
          0,           0,         117,      -4.955092925,      -2.763634305,      -3.638524382,     -0.7793659891
          0,           0,         118,      -4.960746527,      -2.770572271,      -3.647586462,     -0.7778901819
          0,           0,         119,      -4.966673391,       -2.77773419,      -3.656386726,     -0.7777436347
          0,           0,         120,      -4.972818982,      -2.785079611,      -3.665002437,     -0.7790262793
          0,           0,         121,      -4.979150894,       -2.79258548,      -3.673332504,     -0.7816523485
          0,           0,         122,      -4.985646374,      -2.800237979,      -3.681400687,      -0.785509465
          0,           0,         123,      -4.992291746,      -2.808026584,      -3.689268441,     -0.7904107542
          0,           0,         124,      -5.000017922,      -2.816686214,      -3.696213024,     -0.7840085479
          0,           0,         125,      -5.005606511,      -2.823366572,      -3.704321728,      -0.808330565
          0,           0,         126,      -5.014716679,      -2.833372088,      -3.712724938,     -0.8149430924
          0,           0,         127,      -5.023030974,      -2.842508308,      -3.719819405,     -0.8109334761
          0,           0,         128,      -5.028417161,      -2.848942919,      -3.728265816,     -0.8370213461
          0,           0,         129,      -5.037467101,      -2.858829024,      -3.736605941,     -0.8437406604
          0,           0,         130,      -5.045802373,      -2.867943749,      -3.743475191,      -0.840024818
          0,           0,         131,      -5.051379332,      -2.874433388,      -3.752147455,     -0.8677381322
          0,           0,         132,      -5.060603046,      -2.884346008,      -3.760784136,     -0.8755071033
          0,           0,         133,      -5.069158482,      -2.893538199,      -3.768042811,     -0.8732935443
          0,           0,         134,      -5.074932344,      -2.900037237,      -3.777097971,      -0.902086767
          0,           0,         135,      -5.084403521,      -2.909967832,      -3.786453153,     -0.9110785304
          0,           0,         136,      -5.093198217,      -2.919188339,      -3.794514278,     -0.9103089976
          0,           0,         137,      -5.099208582,      -2.925663252,      -3.804088065,     -0.9393612323
          0,           0,         138,      -5.108800732,      -2.935472245,      -3.814272443,     -0.9488645354
          0,           0,         139,      -5.117833192,      -2.944661234,      -3.823390077,     -0.9491470711
          0,           0,         140,      -5.124054637,      -2.951051594,      -3.833500572,     -0.9774372261
          0,           0,         141,       -5.13379646,      -2.960720589,      -3.844600391,      -0.986908146
          0,           0,         142,      -5.141984256,      -2.968895568,      -3.855291062,     -0.9983365939
          0,           0,         143,      -5.149712543,      -2.976606789,      -3.865920112,      -1.008606564
          0,           0,         144,      -5.159509204,       -2.98599363,      -3.877926086,      -1.019116901
          0,           0,         145,       -5.16776005,      -2.993938018,      -3.889319565,       -1.02979928
          0,           0,         146,      -5.175516369,      -3.001422537,       -3.90038097,      -1.039387493
          0,           0,         147,      -5.185367316,      -3.010621087,      -3.912791335,       -1.04919631
          0,           0,         148,      -5.193656337,      -3.018392731,      -3.924416983,      -1.058832072
          0,           0,         149,      -5.201445079,      -3.025724318,      -3.935608384,      -1.067184886
          0,           0,         150,      -5.211229499,       -3.03474631,      -3.948115245,      -1.075721263
          0,           0,         151,      -5.219552223,      -3.042411392,      -3.959758905,      -1.084163054
          0,           0,         152,      -5.227349328,      -3.049650484,       -3.97081474,      -1.091314708
          0,           0,         153,      -5.237094296,       -3.05858185,      -3.983197738,      -1.098842343
          0,           0,         154,      -5.245350897,      -3.066165424,      -3.994510259,      -1.106327652
          0,           0,         155,      -5.253147775,      -3.073375573,      -4.005135425,      -1.112779597
          0,           0,         156,      -5.262832118,      -3.082272217,      -4.017080471,      -1.119811122
          0,           0,         157,      -5.271034708,      -3.089842577,      -4.027803504,      -1.127006889
          0,           0,         158,      -5.278744477,      -3.097040097,      -4.037728425,       -1.13337415
          0,           0,         159,      -5.288322148,      -3.105928762,      -4.048995827,      -1.140546359
          0,           0,         160,      -5.296478072,      -3.113531482,      -4.059004157,      -1.148111714
          0,           0,         161,      -5.304112935,      -3.120757984,      -4.068213185,      -1.155073184
          0,           0,         162,      -5.313572004,      -3.129655573,      -4.078855283,      -1.162903863
          0,           0,         163,       -5.32158373,      -3.137261241,      -4.088159994,      -1.171273101
          0,           0,         164,      -5.329105438,      -3.144504591,      -4.096738422,      -1.179232316
          0,           0,         165,      -5.338415473,      -3.153391723,      -4.106896106,      -1.187989126
          0,           0,         166,      -5.346324864,      -3.161011644,      -4.115846748,      -1.197467326
          0,           0,         167,       -5.35371111,      -3.168246649,       -4.12416737,      -1.206645313
          0,           0,         168,      -5.362846724,      -3.177084851,      -4.134166265,      -1.216470508
          0,           0,         169,      -5.370560695,      -3.184639442,      -4.143029379,      -1.227072291
          0,           0,         170,      -5.377780179,      -3.191812002,      -4.151376559,      -1.237414135
          0,           0,         171,      -5.386715223,      -3.200545836,      -4.161493201,      -1.248175927
          0,           0,         172,      -5.394269121,       -3.20801659,      -4.170625569,      -1.259774706
          0,           0,         173,       -5.40003889,      -3.213799274,      -4.179954348,      -1.286079534
          0,           0,         174,      -5.408792018,      -3.222531246,      -4.190010082,       -1.29272984
          0,           0,         175,      -5.414887436,      -3.228648875,      -4.199963793,      -1.317433403
          0,           0,         176,      -5.421790132,      -3.235762837,      -4.208746919,      -1.322077373
          0,           0,         177,      -5.429097683,      -3.243015801,      -4.220130317,      -1.344147331
          0,           0,         178,      -5.436279325,      -3.250354471,      -4.229908072,       -1.34835165
          0,           0,         179,      -5.441724365,      -3.255946888,      -4.239714606,      -1.369667822
          0,           0,         180,      -5.450079797,      -3.264338889,      -4.250772215,       -1.37251962
          0,           0,         181,       -5.45584493,       -3.27016193,      -4.261144383,      -1.393531872
          0,           0,         182,      -5.462329236,      -3.276873274,       -4.27051849,       -1.39647811
          0,           0,         183,      -5.469229482,      -3.283721599,      -4.281908933,      -1.416071144
          0,           0,         184,      -5.475980265,      -3.290624472,      -4.291735009,      -1.419540813
          0,           0,         185,      -5.481052036,      -3.295834461,      -4.301041568,      -1.438756986
          0,           0,         186,      -5.488930207,      -3.303753559,      -4.311917442,      -1.441051696
          0,           0,         187,      -5.494259039,      -3.309163518,      -4.321642927,       -1.46041906
          0,           0,         188,       -5.50028418,      -3.315432893,       -4.33044787,      -1.463024672
